Date,portfolio_nav,SPY_nav,QQQ_nav,NVDA_value,TSM_value,AMD_value,AVGO_value,MSFT_value,GOOGL_value,AMZN_value,META_value,ANET_value,PLTR_value
2022-06-24,667221.2601,822637.3540,735762.7022,137316.3423,72482.3600,55744.7103,49926.6715,114218.5426,89067.6313,37507.7832,53563.0271,31420.2457,25973.9462
2022-06-27,658367.5659,819495.0171,730368.4214,135255.6995,72431.7468,55155.7688,49595.1936,113019.6318,87450.8610,36464.2907,53352.1205,31121.2160,24521.0372
2022-06-28,632766.4112,802750.4015,708116.4867,128143.7524,71149.4684,51711.7310,48883.2028,109431.3778,84562.3483,34589.8678,50578.9034,29984.8996,23730.8596
2022-06-29,628671.5879,802096.8371,708765.8662,124615.8084,70567.3961,49925.6976,48094.7157,111044.1817,84331.3231,35079.4068,51605.0930,29881.0252,23526.9403
2022-06-30,616540.7631,795580.1550,699974.9032,121544.9340,68964.5447,48952.6640,47643.5951,109580.6915,82263.8444,34206.6087,50758.3250,29506.4493,23119.1063
2022-07-01,606043.6077,803994.8216,704595.1399,147668.3878,58071.7227,47517.2550,42449.8266,93471.3552,73831.7763,38159.2346,48950.0930,30718.5173,25205.4392
2022-07-05,621901.3064,805513.1008,716657.6523,152152.4333,57400.5049,48504.1065,42313.0079,94648.8566,76904.5496,39531.5190,51446.0806,31619.5843,27380.6637
2022-07-06,626784.1419,808233.6785,721252.7688,153840.2878,56985.7089,48600.8577,42873.5729,95858.7217,77793.3497,39820.6048,51929.3645,32435.1478,26646.5261
2022-07-07,649204.3520,820338.6711,736686.9212,161242.5286,60824.4659,51148.6163,44288.7455,96647.3344,80652.5765,40517.1954,52669.5995,33533.5309,27679.7591
2022-07-08,649451.7464,819663.9104,737610.9061,161039.1751,61473.0720,51180.8634,44302.0719,96380.8593,81039.9428,40242.0418,52268.8989,33872.2531,27652.5681
2022-07-11,628228.1255,810300.3532,721852.2200,154064.0029,59663.0530,49632.8590,42895.7802,95246.5912,78543.2883,38922.0022,49821.8517,33444.7382,25993.9588
2022-07-12,619884.6493,803130.0390,714859.2986,153352.2414,59655.4893,49252.3105,42763.4145,91343.2516,77418.8844,38040.8154,49941.1451,32313.4724,25803.6247
2022-07-13,620917.7408,798912.1753,713385.9468,154186.0073,61307.1585,50000.5096,42795.4017,91001.1568,75608.0079,38451.8040,50008.4405,32326.6270,25232.6276
2022-07-14,623248.9223,796972.0013,715933.4584,156300.9207,63102.0927,50697.1123,43053.9140,91490.8964,74938.5260,38531.9105,48344.4441,32589.7109,24199.3947
2022-07-15,637368.9215,812198.2699,728919.9557,160266.4259,64580.2907,52316.0673,43926.2937,92441.5101,75895.9055,39548.9348,50378.5603,33434.8729,24580.0603
2022-07-18,636880.5586,805492.0400,722751.3968,163713.3520,63034.2084,52522.4676,43624.2482,91552.1032,74030.3796,39622.0765,51152.4336,33076.4201,24552.8693
2022-07-19,663868.6051,827255.9161,744978.2894,172772.9243,64972.4505,55392.7221,45217.9777,93453.3532,77275.9594,41171.9896,53767.7051,34447.7525,25395.7707
2022-07-20,682012.1703,832527.9749,756791.1605,181059.7863,65281.6719,57682.4791,45464.0591,94439.9879,77337.0645,42760.2155,56003.6887,34493.7923,27489.4250
2022-07-21,690284.6311,841005.8241,767654.9264,183530.5611,66209.3176,58753.1790,45989.0869,95365.4101,77635.8209,43408.0450,56028.1730,34842.3797,28522.6579
2022-07-22,665407.6079,833202.8710,754193.5645,176097.8752,65100.6553,56824.6260,45530.6880,93752.2433,73263.1264,42638.3126,51776.4328,33668.3609,26755.2874
